class,concept,relation,relation_direction,weight
apple,red,HasProperty,class -> concept,9.591663046625438
apple,red,RelatedTo,class -> concept,9.309350138436088
apple,green,HasProperty,class -> concept,7.211102550927979
apple,eaten,ReceivesAction,class -> concept,6.32455532033676
apple,eating,UsedFor,class -> concept,5.291502622129181
apple,core,HasA,class -> concept,4.898979485566356
apple,red fruit,RelatedTo,class -> concept,4.827835954131002
apple,green,RelatedTo,class -> concept,4.44837048816755
apple,core,RelatedTo,class -> concept,4.441171016747722
apple,tree,RelatedTo,class -> concept,4.297441099072796
apple,computer,RelatedTo,class -> concept,4.164132562731402
apple,round,RelatedTo,class -> concept,4.144393803682271
apple,food,RelatedTo,class -> concept,2.318620279390311
apple,pome,IsA,class -> concept,2.0
apple,peel,RelatedTo,class -> concept,1.3840000000000003
apple,tree,RelatedTo,class -> concept,1.0
apple,dessert,UsedFor,class -> concept,1.0
apple,peel,HasA,class -> concept,1.0
apple,computing,UsedFor,class -> concept,1.0
apple,fruit tree,IsA,class -> concept,1.0
apple,wood,RelatedTo,class -> concept,1.0
apple,round,RelatedTo,class -> concept,1.0
apple,vegetable,RelatedTo,class -> concept,1.0
apple,computer,RelatedTo,class -> concept,1.0
apple,tree,IsA,class -> concept,1.0
baby,chick,RelatedTo,concept -> class,9.187600339588132
baby,doll,RelatedTo,concept -> class,7.399729724794007
baby,child,RelatedTo,class -> concept,6.183849933496123
baby,cry loudly,CapableOf,class -> concept,6.0
baby,human,RelatedTo,class -> concept,5.232207946937889
baby,small,RelatedTo,class -> concept,4.831148931672464
baby,young,RelatedTo,class -> concept,4.689562879416375
baby,cry,CapableOf,class -> concept,4.47213595499958
baby,person,RelatedTo,class -> concept,4.2932505167995965
baby,newborn,RelatedTo,class -> concept,4.174685616905782
baby,nest,RelatedTo,concept -> class,3.4554305086341994
baby,cry,RelatedTo,concept -> class,2.958377933936095
baby,child,RelatedTo,concept -> class,2.547940344670573
baby,child,Synonym,class -> concept,2.0
baby,babe,Synonym,concept -> class,2.0
baby,child,IsA,class -> concept,2.0
baby,animal,RelatedTo,class -> concept,1.0
baby,babe,DerivedFrom,class -> concept,1.0
baby,babe,RelatedTo,class -> concept,1.0
baby,human,RelatedTo,class -> concept,1.0
baby,doll,RelatedTo,class -> concept,1.0
baby,babe,Synonym,class -> concept,1.0
baby,young,RelatedTo,class -> concept,1.0
