class,concept,weight
Black footed Albatross,bill shape is dagger,2.9197080292
Black footed Albatross,bill shape is hooked,1.4598540146
Black footed Albatross,bill shape is hooked seabird,59.8540145985
Black footed Albatross,bill shape is spatulate,26.2773722628
Black footed Albatross,bill shape is all-purpose,3.6496350365
Black footed Albatross,bill shape is cone,5.83941605839
Black footed Albatross,wing color is blue,1.6393442623
Black footed Albatross,wing color is brown,45.9016393443
Black footed Albatross,wing color is iridescent,3.27868852459
Black footed Albatross,wing color is rufous,2.45901639344
Black footed Albatross,wing color is grey,24.5901639344
Black footed Albatross,wing color is black,31.9672131148
Black footed Albatross,wing color is white,3.27868852459
Black footed Albatross,wing color is red,2.45901639344
Black footed Albatross,wing color is buff,28.6885245902
Black footed Albatross,upperparts color is blue,1.8018018018
Black footed Albatross,upperparts color is brown,48.6486486486
Black footed Albatross,upperparts color is iridescent,3.6036036036
Black footed Albatross,upperparts color is rufous,1.8018018018
Black footed Albatross,upperparts color is grey,20.7207207207
Black footed Albatross,upperparts color is black,23.4234234234
Black footed Albatross,upperparts color is white,2.7027027027
Black footed Albatross,upperparts color is red,5.40540540541
Black footed Albatross,upperparts color is buff,29.7297297297
Black footed Albatross,underparts color is blue,2.12765957447
Black footed Albatross,underparts color is brown,29.7872340426
Black footed Albatross,underparts color is iridescent,4.25531914894
Black footed Albatross,underparts color is rufous,5.31914893617
Black footed Albatross,underparts color is grey,39.3617021277
Black footed Albatross,underparts color is black,23.4042553191
Black footed Albatross,underparts color is white,8.51063829787
Black footed Albatross,underparts color is red,6.3829787234
Black footed Albatross,underparts color is buff,18.085106383
Black footed Albatross,breast pattern is solid,78.5046728972
Black footed Albatross,breast pattern is striped,3.73831775701
Black footed Albatross,breast pattern is multi-colored,17.7570093458
Black footed Albatross,back color is blue,1.92307692308
Black footed Albatross,back color is brown,44.2307692308
Black footed Albatross,back color is iridescent,1.92307692308
Black footed Albatross,back color is rufous,2.88461538462
Black footed Albatross,back color is grey,21.1538461538
Black footed Albatross,back color is black,22.1153846154
Black footed Albatross,back color is white,1.92307692308
Black footed Albatross,back color is red,5.76923076923
Black footed Albatross,back color is buff,30.7692307692
Black footed Albatross,tail shape is forked tail,2.08333333333
Black footed Albatross,tail shape is rounded tail,23.9583333333
Black footed Albatross,tail shape is notched tail,23.9583333333
Black footed Albatross,tail shape is fan-shaped tail,16.6666666667
Black footed Albatross,tail shape is pointed tail,23.9583333333
Black footed Albatross,tail shape is squared tail,9.375
Black footed Albatross,upper tail color is blue,3.52941176471
Black footed Albatross,upper tail color is brown,31.7647058824
Black footed Albatross,upper tail color is iridescent,4.70588235294
Black footed Albatross,upper tail color is rufous,3.52941176471
Black footed Albatross,upper tail color is grey,22.3529411765
Black footed Albatross,upper tail color is black,22.3529411765
Black footed Albatross,upper tail color is white,16.4705882353
Black footed Albatross,upper tail color is red,7.05882352941
Black footed Albatross,upper tail color is buff,22.3529411765
Black footed Albatross,head pattern is spotted,4.0
Black footed Albatross,head pattern is malar,5.6
Black footed Albatross,head pattern is masked,6.4
Black footed Albatross,head pattern is unique pattern,5.6
Black footed Albatross,head pattern is eyebrow,7.2
Black footed Albatross,head pattern is eyering,12.0
Black footed Albatross,head pattern is plain,36.8
Black footed Albatross,head pattern is eyeline,16.0
Black footed Albatross,head pattern is striped,6.4
Black footed Albatross,head pattern is capped,6.4
