class,concept,weight
apple pie,edges are sealed,0.8
apple pie,looks appetizing,0.5
apple pie,golden hue,0.7
apple pie,baked in a deep dish,0.6
apple pie,regal golden color,0.7
apple pie,dark amber color,0.5
apple pie,baked in the oven,0.9
apple pie,little pies,0.6
apple pie,sugar,0.7
apple pie,round and small,0.5
apple pie,deep golden color,0.6
apple pie,dried and cooked,0.5
apple pie,chopped or whole,0.6
apple pie,brown and white,0.7
apple pie,"moist, oily texture",0.5
apple pie,"crispy, golden-brow",0.8
apple pie,usually round,0.9
apple pie,split open top,0.6
apple pie,slightly toasted,0.6
apple pie,use pan,0.7
apple pie,rich and smooth,0.5
apple pie,soft inside,0.6
apple pie,dough folded,0.7
apple pie,puffy crust,0.8
apple pie,fluffy interior,0.5
apple pie,traditionally topped,0.5
apple pie,sweeter filling,0.6
apple pie,brown side,0.7
apple pie,"round, like a food",0.8
apple pie,slightly domed top,0.7
apple pie,"short, thick circle",0.5
apple pie,crisp outside,0.6
apple pie,lovely golden hue,0.8
apple pie,"large, round shape",0.8
apple pie,crisp outer layer,0.6
apple pie,light brownish-gray,0.7
apple pie,slightly dense crumb,0.5
apple pie,with a perfect bite,0.5
apple pie,tan color,0.7
apple pie,crispy outside,0.6
apple pie,pale in colour,0.5
apple pie,"soft, fluffy inside",0.5
apple pie,chopped or shredded,0.7
apple pie,light colored flesh,0.5
apple pie,oozing with syrup,0.8
apple pie,shredded or diced,0.7
apple pie,brownish red,0.6
apple pie,color will be brown,0.7
apple pie,color is uniform,0.5
apple pie,glossy surface,0.5
apple pie,golden and brown,0.8
apple pie,gooey interior,0.6
apple pie,crimped edge,0.5
apple pie,soft on the inside,0.5
apple pie,"deep, reddish brown",0.8
apple pie,"rich, dark brown",0.8
apple pie,bubbling,0.7
apple pie,gooey and bubbly,0.9
apple pie,reddish brown,0.8
apple pie,fill,0.7
apple pie,interior is fluffy,0.6
apple pie,color of a new penny,0.6
apple pie,slightly roasted,0.5
apple pie,cross-section,0.6
apple pie,light brown interior,0.7
apple pie,looks crispy,0.5
apple pie,rich golden brown,0.8
apple pie,gooey and melted,0.9
apple pie,"baked, fried, saueed",0.5
apple pie,layered dish,0.7
apple pie,stunning centerpiece,0.5
apple pie,rectangular pastry,0.6
apple pie,nice crust,0.9
apple pie,thin and flakey,0.8
apple pie,top and a bottom,0.8
apple pie,uniform in thickness,0.5
apple pie,"warm, golden color",0.9
apple pie,all the same shape,0.5
apple pie,brown in color,0.9
apple pie,melted together,0.7
apple pie,look very appetizing,0.8
apple pie,lighter in color,0.6
apple pie,"soft, chewy inside",0.5
apple pie,baked or broiled,0.9
apple pie,top is rounded,0.7
apple pie,bit tan in color,0.6
apple pie,edges are scalloped,0.5
apple pie,color is toasted,0.8
apple pie,evenly cooked,0.7
apple pie,beige color,0.6
apple pie,round,0.8
apple pie,golden and delicious,0.9
apple pie,please all palates,0.7
apple pie,not be overcooked,0.6
apple pie,deep sides,0.7
apple pie,color will be darker,0.7
apple pie,coffee brown,0.7
apple pie,rounded edges,0.6
apple pie,golden orange,0.7
apple pie,"lovely, sunny hue",0.6
apple pie,overall tender,0.5
apple pie,shape is round,0.5
apple pie,slight brown tint,0.6
apple pie,topping,0.6
apple pie,drain it well,0.5
apple pie,flaky,1.0
apple pie,bubbly and thick,0.7
apple pie,inviting,0.6
apple pie,suit anyone's taste,0.5
apple pie,toasted and buttery,0.7
apple pie,slightly domed,0.6
apple pie,thicken,0.8
apple pie,cracked and bubbled,0.6
apple pie,visually appealing,0.8
apple pie,bit red in color,0.5
apple pie,crispy and chewy,0.7
apple pie,look appetizing,0.8
apple pie,beautiful red color,0.5
apple pie,sliced into wedges,0.6
apple pie,red side,0.5
apple pie,uniform golden color,0.7
apple pie,delicate crumb,0.6
apple pie,round and flat,0.6
apple pie,rolled in sugar,0.5
apple pie,dark and rich,0.5
apple pie,warm and cozy,0.7
apple pie,closed at the top,0.5
apple pie,perfect crumb,0.5
apple pie,texture,0.6
apple pie,hearty,0.6
