class,concept,relation,relation_direction,weight
tench,cyprinid,IsA,class -> concept,2.0
tench,tinctinca,Synonym,concept -> class,2.0
tench,fish,IsA,class -> concept,0.5
goldfish,carp,IsA,class -> concept,8.0
goldfish,cyprinid,IsA,class -> concept,2.0
goldfish,silverfish,IsA,concept -> class,2.0
goldfish,fish,IsA,class -> concept,2.0
goldfish,dorado,RelatedTo,concept -> class,1.0
goldfish,carp,IsA,class -> concept,1.0
goldfish,gold,DerivedFrom,class -> concept,1.0
goldfish,fish,DerivedFrom,class -> concept,1.0
goldfish,silverfish,RelatedTo,concept -> class,1.0
goldfish,bowl,Desires,class -> concept,1.0
goldfish,oranda,RelatedTo,concept -> class,1.0
goldfish,fantail,RelatedTo,concept -> class,1.0
goldfish,carp,RelatedTo,concept -> class,0.532
goldfish,fish,IsA,class -> concept,0.5
stingray,ray,IsA,class -> concept,2.0
stingray,ray fish,IsA,class -> concept,1.0
stingray,whip,RelatedTo,class -> concept,1.0
stingray,venomous,RelatedTo,class -> concept,1.0
stingray,stingaree,RelatedTo,concept -> class,1.0
stingray,ray,DerivedFrom,class -> concept,1.0
stingray,cell phone,RelatedTo,class -> concept,1.0
stingray,sting,DerivedFrom,class -> concept,1.0
stingray,barbed,RelatedTo,class -> concept,1.0
stingray,stingaree,Synonym,class -> concept,1.0
stingray,device,RelatedTo,class -> concept,1.0
stingray,simulate,RelatedTo,class -> concept,1.0
stingray,ray,RelatedTo,class -> concept,1.0
stingray,tail,RelatedTo,class -> concept,1.0
rooster,chicken,RelatedTo,concept -> class,7.656631112963456
rooster,chick,RelatedTo,concept -> class,4.251587938641279
rooster,chicken,IsA,class -> concept,3.4641016151377544
rooster,cock,Synonym,class -> concept,2.0
rooster,cock,Synonym,class -> concept,2.0
rooster,comb,HasA,class -> concept,2.0
rooster,children,RelatedTo,class -> concept,1.0
rooster,cockerel,RelatedTo,concept -> class,1.0
rooster,violet,RelatedTo,class -> concept,1.0
rooster,regional,HasContext,class -> concept,1.0
rooster,cock,Synonym,concept -> class,1.0
rooster,chicken,IsA,class -> concept,1.0
rooster,roost,DerivedFrom,class -> concept,1.0
rooster,bird,RelatedTo,class -> concept,1.0
rooster,violet,Synonym,concept -> class,1.0
rooster,chicken,RelatedTo,class -> concept,1.0
rooster,cock,Synonym,concept -> class,1.0
rooster,roost,RelatedTo,class -> concept,1.0
rooster,brawler,Synonym,class -> concept,1.0
rooster,bat,RelatedTo,class -> concept,1.0
rooster,wild,RelatedTo,class -> concept,1.0
rooster,brawler,Synonym,concept -> class,1.0
rooster,person,RelatedTo,class -> concept,1.0
rooster,chicken,IsA,class -> concept,1.0
rooster,chicken,PartOf,class -> concept,1.0
rooster,game,RelatedTo,class -> concept,1.0
rooster,historical,HasContext,class -> concept,1.0
rooster,crow,CapableOf,class -> concept,1.0
rooster,base,RelatedTo,class -> concept,1.0
rooster,cockerel,Synonym,concept -> class,1.0
rooster,cockerel,IsA,concept -> class,1.0
rooster,crow,RelatedTo,concept -> class,1.0
rooster,cock,RelatedTo,concept -> class,1.0
rooster,antmire,EtymologicallyRelatedTo,concept -> class,0.25
rooster,cock,RelatedTo,concept -> class,0.1030000000000002
